type,name,path,issue
LOD,SM_WatchCase,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,SM_Watch,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,SM_VaultDoorframe,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,SM_VaultDoor,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,SM_TV3,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,SM_TV2,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,SM_TV1,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,SM_TableFloor,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,SM_Table,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,SM_Stool,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,SM_Statue,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,SM_Pillar4,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,SM_Pillar3,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,SM_Pillar2,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,SM_Pillar1,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,SM_Pallet2,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,SM_Pallet,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,wireframe,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,SM_Painting3,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,Sm_Painting2,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,SM_Painting1,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
MESH,SM_IngotStack6,/Game/DropOff/3D,"15,872 triangles (limit: 10,000)"
LOD,SM_IngotStack6,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
SIZE,SM_IngotStack6,/Game/DropOff/3D,1.39 MB on disk (limit: 1.0 MB)
MESH,SM_IngotStack5,/Game/DropOff/3D,"16,400 triangles (limit: 10,000)"
LOD,SM_IngotStack5,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
SIZE,SM_IngotStack5,/Game/DropOff/3D,1.47 MB on disk (limit: 1.0 MB)
MESH,SM_IngotStack4,/Game/DropOff/3D,"12,320 triangles (limit: 10,000)"
LOD,SM_IngotStack4,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
SIZE,SM_IngotStack4,/Game/DropOff/3D,1.12 MB on disk (limit: 1.0 MB)
MESH,SM_IngotStack3,/Game/DropOff/3D,"13,164 triangles (limit: 10,000)"
LOD,SM_IngotStack3,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
SIZE,SM_IngotStack3,/Game/DropOff/3D,1.13 MB on disk (limit: 1.0 MB)
LOD,SM_IngotStack2,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,SM_IngotStack1,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,Sm_Ingot,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
MESH,SM_CoinStack,/Game/DropOff/3D,"35,191 triangles (limit: 10,000)"
LOD,SM_CoinStack,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
SIZE,SM_CoinStack,/Game/DropOff/3D,7.37 MB on disk (limit: 1.0 MB)
LOD,SM_Coin,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,SM_Chair,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
SIZE,SM_Chair,/Game/DropOff/3D,1.12 MB on disk (limit: 1.0 MB)
LOD,SM_Chain,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,SM_CameraMount,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,SM_Camera,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,SM_BarShelves,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,SM_Barricade,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,SM_Bar,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,Lash_20260319_0845_3D_Mesh_CCTVCamera_Lash,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,Lash_20260319_0841_3D_Mesh_NobodyChair_Lash,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,JoshH_20260324_1442_TvScreenMountedArm,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,JoshH_20260324_1442_TvScreenMounted,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,JoshH_20260324_1442_TvScreenFlat,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,JoshH_20260324_1442_DropDownScreen,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,Jacob_J_20260319_1127_3D_Mesh_Typewriter_JacobJ,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,Jacob_J_20260319_1127_3D_Mesh_Keypad_JacobJ,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
